"cell" "total_reads" "aligned_reads" "sample" "cell_id" "pct_aligned" "detection" "geo_accession" "sampleName" "sampleType" "tumorName" "cellType" "subType" "includeSample" "Run" "avgLength" "Experiment" "Sample" "BioSample" "download_path" "instrument" "runID" "fcID" "fcLane" "tile" "xtile" "ytile" "detection_rate" "b0" "b1"
"MGH26_GSM1395416" 2023212 885889 "MGH26" "MGH26_GSM1395416" 0.43786266589957 4223 "GSM1395416" "MGH26_B06" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294509" 50 "SRX549123" "SRS617102" "SAMN02796860" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294509" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2232" "2098" 0.202291947542591 -3.7845762 0.64216165
"MGH26_GSM1395420" 1954556 811550 "MGH26" "MGH26_GSM1395420" 0.41520938770749 5144 "GSM1395420" "MGH26_B10" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294513" 50 "SRX549127" "SRS617106" "SAMN02796807" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294513" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1329" "2142" 0.243412182865547 -3.6645324 0.68406783
"MGH26_GSM1395422" 2889211 725438 "MGH26" "MGH26_GSM1395422" 0.251085157851053 4615 "GSM1395422" "MGH26_B12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294515" 50 "SRX549129" "SRS617108" "SAMN02796812" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294515" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1612" "2203" 0.210197328103934 -3.6944934 0.62556512
"MGH26_GSM1395423" 2499583 849504 "MGH26" "MGH26_GSM1395423" 0.339858288362499 5046 "GSM1395423" "MGH26_C01" "SC" "MGH26" "Glioblastoma" "Neu+Cla" TRUE "SRR1294516" 50 "SRX549130" "SRS617109" "SAMN02796817" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294516" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1727" "2144" 0.229623728398088 -3.7301405 0.6635242
"MGH26_GSM1395425" 2482957 1042527 "MGH26" "MGH26_GSM1395425" 0.419873159301591 5091 "GSM1395425" "MGH26_C03" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294518" 50 "SRX549132" "SRS617111" "SAMN02796813" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294518" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1481" "2164" 0.228336805981125 -3.3655244 0.57053648
"MGH26_GSM1395427" 1804622 292329 "MGH26" "MGH26_GSM1395427" 0.161989048121989 4187 "GSM1395427" "MGH26_C05" "SC" "MGH26" "Glioblastoma" "Pro+Neu" TRUE "SRR1294520" 50 "SRX549134" "SRS617114" "SAMN02796815" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294520" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1145" "2230" 0.227295011643584 -3.3835029 0.59838919
"MGH26_GSM1395434" 1780262 223493 "MGH26" "MGH26_GSM1395434" 0.125539386899232 5122 "GSM1395434" "MGH26_C12" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294527" 50 "SRX549141" "SRS617121" "SAMN02796826" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294527" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1598" "2113" 0.273072680475549 -3.1792492 0.65056973
"MGH26_GSM1395435" 1052534 107628 "MGH26" "MGH26_GSM1395435" 0.102256079138536 5092 "GSM1395435" "MGH26_D01" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294528" 50 "SRX549142" "SRS617122" "SAMN02796829" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294528" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1939" "2139" 0.270866527760755 -3.0593445 0.60318997
"MGH26_GSM1395437" 1841497 498894 "MGH26" "MGH26_GSM1395437" 0.270917628429479 4593 "GSM1395437" "MGH26_D03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294530" 50 "SRX549144" "SRS617124" "SAMN02796828" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294530" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1726" "2189" 0.251133717367324 -3.3755523 0.62950812
"MGH26_GSM1395440" 596364 39355 "MGH26" "MGH26_GSM1395440" 0.0659915756148929 5083 "GSM1395440" "MGH26_D06" "SC" "MGH26" "Glioblastoma" "Neu" TRUE "SRR1294533" 50 "SRX549147" "SRS617126" "SAMN02796830" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294533" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "3215" "2168" 0.266392940311313 -3.0269494 0.62338585
"MGH26_GSM1395441" 948098 48743 "MGH26" "MGH26_GSM1395441" 0.0514113519910389 5721 "GSM1395441" "MGH26_D07" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294534" 50 "SRX549148" "SRS617128" "SAMN02796832" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294534" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1437" "2222" 0.299117538914083 -2.8479515 0.57012065
"MGH26_GSM1395442" 609891 34725 "MGH26" "MGH26_GSM1395442" 0.056936403390114 4888 "GSM1395442" "MGH26_D08" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294535" 50 "SRX549149" "SRS617129" "SAMN02796824" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294535" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "3478" "2232" 0.260448584385341 -3.2312802 0.64227433
"MGH26_GSM1395444" 1993863 955295 "MGH26" "MGH26_GSM1395444" 0.479117672578307 4222 "GSM1395444" "MGH26_D10" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294537" 50 "SRX549151" "SRS616904" "SAMN02796714" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294537" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1006" "2118" 0.206888099031744 -3.9885581 0.6420264
"MGH26_GSM1395448" 2431704 852305 "MGH26" "MGH26_GSM1395448" 0.350497017729131 5259 "GSM1395448" "MGH26_E02" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294541" 50 "SRX549155" "SRS616908" "SAMN02796718" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294541" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1188" "2126" 0.247334232136291 -3.4100593 0.62682882
"MGH26_GSM1395450" 1928380 259376 "MGH26" "MGH26_GSM1395450" 0.134504610087223 5236 "GSM1395450" "MGH26_E04" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294543" 50 "SRX549157" "SRS616910" "SAMN02796722" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294543" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2369" "2235" 0.282142419414144 -2.9420844 0.59168542
"MGH26_GSM1395451" 1509776 148528 "MGH26" "MGH26_GSM1395451" 0.098377507656765 4601 "GSM1395451" "MGH26_E05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294544" 50 "SRX549158" "SRS616911" "SAMN02796721" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294544" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1429" "2160" 0.245802181639907 -3.0718961 0.57666346
"MGH26_GSM1395452" 1940632 584008 "MGH26" "MGH26_GSM1395452" 0.300937014333475 5659 "GSM1395452" "MGH26_E06" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294545" 50 "SRX549159" "SRS616912" "SAMN02796719" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294545" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2490" "2147" 0.268170118887119 -3.2773411 0.61992375
"MGH26_GSM1395453" 1523155 76888 "MGH26" "MGH26_GSM1395453" 0.0504794324937383 5270 "GSM1395453" "MGH26_E07" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294546" 50 "SRX549160" "SRS616913" "SAMN02796730" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294546" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2279" "2186" 0.272276014217429 -3.0651118 0.60311451
"MGH26_GSM1395454" 2571676 864175 "MGH26" "MGH26_GSM1395454" 0.336035721451691 5314 "GSM1395454" "MGH26_E08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294547" 50 "SRX549161" "SRS616914" "SAMN02796724" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294547" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1221" "2096" 0.250704743228337 -3.7346824 0.68475511
"MGH26_GSM1395456" 1737805 252608 "MGH26" "MGH26_GSM1395456" 0.145360382781728 4932 "GSM1395456" "MGH26_E10" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294549" 50 "SRX549163" "SRS616916" "SAMN02796731" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294549" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1525" "2212" 0.268170118887119 -3.0839087 0.58469356
"MGH26_GSM1395458" 1772657 297932 "MGH26" "MGH26_GSM1395458" 0.168070867629778 5215 "GSM1395458" "MGH26_E12" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294551" 50 "SRX549165" "SRS616918" "SAMN02796728" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294551" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1923" "2156" 0.279691138619929 -3.0580617 0.59571975
"MGH26_GSM1395460" 2129260 817286 "MGH26" "MGH26_GSM1395460" 0.383835698787372 4659 "GSM1395460" "MGH26_F02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294553" 50 "SRX549167" "SRS616920" "SAMN02796726" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294553" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2554" "2114" 0.214916043632798 -3.6422657 0.61021971
"MGH26_GSM1395463" 3415777 1426765 "MGH26" "MGH26_GSM1395463" 0.417698520717248 4663 "GSM1395463" "MGH26_F05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294556" 50 "SRX549170" "SRS616923" "SAMN02796727" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294556" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1342" "2161" 0.199105282510112 -3.7314532 0.62485314
"MGH26_GSM1395466" 2802977 1254177 "MGH26" "MGH26_GSM1395466" 0.447444627622703 5945 "GSM1395466" "MGH26_F08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294559" 50 "SRX549173" "SRS616926" "SAMN02796729" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294559" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1153" "2181" 0.279752420639784 -3.4943301 0.69071228
"MGH26_GSM1395467" 2743855 862145 "MGH26" "MGH26_GSM1395467" 0.314209387886751 4821 "GSM1395467" "MGH26_F09" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294560" 50 "SRX549174" "SRS616927" "SAMN02796736" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294560" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1005" "2243" 0.217735016546145 -3.6870985 0.65035275
"MGH26_GSM1395468" 2379178 891818 "MGH26" "MGH26_GSM1395468" 0.374842907928705 4988 "GSM1395468" "MGH26_F10" "SC" "MGH26" "Glioblastoma" "Pro+Cla" TRUE "SRR1294561" 50 "SRX549175" "SRS616928" "SAMN02796737" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294561" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1038" "2202" 0.22508885892879 -3.8200276 0.66332473
"MGH26_GSM1395469" 1418395 155479 "MGH26" "MGH26_GSM1395469" 0.109616150649149 5401 "GSM1395469" "MGH26_F11" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294562" 50 "SRX549176" "SRS616929" "SAMN02796741" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294562" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1281" "2137" 0.286799852923152 -3.1193823 0.62588417
"MGH26_GSM1395470" 1103254 122692 "MGH26" "MGH26_GSM1395470" 0.111209204770615 5967 "GSM1395470" "MGH26_F12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294563" 50 "SRX549177" "SRS616930" "SAMN02796739" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294563" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1339" "2194" 0.320075989704621 -2.8257852 0.64208962
"MGH26_GSM1395471" 2141634 1141693 "MGH26" "MGH26_GSM1395471" 0.5330943569256 6453 "GSM1395471" "MGH26_G01" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294564" 50 "SRX549178" "SRS616931" "SAMN02796744" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294564" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1909" "2185" 0.314499325897782 -3.3529285 0.70420445
"MGH26_GSM1395472" 1061361 88455 "MGH26" "MGH26_GSM1395472" 0.083341106371913 5971 "GSM1395472" "MGH26_G02" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294565" 50 "SRX549179" "SRS616932" "SAMN02796740" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294565" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1400" "2215" 0.310822404706459 -2.9822933 0.63061382
"MGH26_GSM1395473" 2610591 1198690 "MGH26" "MGH26_GSM1395473" 0.459164227563797 5127 "GSM1395473" "MGH26_G03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294566" 50 "SRX549180" "SRS616933" "SAMN02796650" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294566" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1000" "2173" 0.235629366343915 -3.7842987 0.68908394
"MGH26_GSM1395476" 1591396 309781 "MGH26" "MGH26_GSM1395476" 0.194659908658813 4562 "GSM1395476" "MGH26_G06" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294569" 50 "SRX549183" "SRS616936" "SAMN02796653" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294569" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1291" "2202" 0.247456796176002 -3.2503263 0.59620902
"MGH26_GSM1395479" 2757503 1304305 "MGH26" "MGH26_GSM1395479" 0.473002205255987 4875 "GSM1395479" "MGH26_G09" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294572" 50 "SRX549186" "SRS616939" "SAMN02796666" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294572" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1120" "2190" 0.220370143399926 -3.9200102 0.65041185
"MGH26_GSM1395480" 1797472 406505 "MGH26" "MGH26_GSM1395480" 0.226153731462855 6968 "GSM1395480" "MGH26_G10" "SC" "MGH26" "Glioblastoma" "Pro+Neu" TRUE "SRR1294573" 50 "SRX549187" "SRS616940" "SAMN02796659" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294573" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1696" "2152" 0.374494423336193 -2.5096016 0.60691102
"MGH26_GSM1395481" 2179402 710765 "MGH26" "MGH26_GSM1395481" 0.326128451749608 5233 "GSM1395481" "MGH26_G11" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294574" 50 "SRX549188" "SRS616941" "SAMN02796667" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294574" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1699" "2109" 0.248682436573109 -3.5047557 0.63255775
"MGH26_GSM1395482" 1623685 231455 "MGH26" "MGH26_GSM1395482" 0.142549201353711 4571 "GSM1395482" "MGH26_G12" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294575" 50 "SRX549189" "SRS616942" "SAMN02796662" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294575" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "4115" "2125" 0.247027822037014 -3.1128108 0.58337959
"MGH26_GSM1395483" 1883136 731862 "MGH26" "MGH26_GSM1395483" 0.388640013254486 4309 "GSM1395483" "MGH26_H01" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294576" 50 "SRX549190" "SRS616943" "SAMN02796661" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294576" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2029" "2145" 0.206336560853046 -3.9113395 0.66705546
"MGH26_GSM1395484" 2055439 691091 "MGH26" "MGH26_GSM1395484" 0.336225497326848 5513 "GSM1395484" "MGH26_H02" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294577" 50 "SRX549191" "SRS616944" "SAMN02796654" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294577" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "3056" "2126" 0.268231400906974 -3.3876563 0.61697963
"MGH26_GSM1395487" 2501803 785778 "MGH26" "MGH26_GSM1395487" 0.31408468212725 4803 "GSM1395487" "MGH26_H05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294580" 50 "SRX549194" "SRS616947" "SAMN02796664" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294580" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1845" "2152" 0.215957837970339 -3.698008 0.64464979
"MGH26_GSM1395489" 1714203 310210 "MGH26" "MGH26_GSM1395489" 0.180964564873588 5630 "GSM1395489" "MGH26_H07" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294582" 50 "SRX549196" "SRS616949" "SAMN02796670" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294582" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1578" "2225" 0.304265228581934 -3.1678696 0.65416427
"MGH26_GSM1395490" 1568663 261306 "MGH26" "MGH26_GSM1395490" 0.166578799907947 4756 "GSM1395490" "MGH26_H08" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294583" 50 "SRX549197" "SRS616950" "SAMN02796668" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294583" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "2463" "2120" 0.261980634881726 -3.3659261 0.64086959
"MGH26_GSM1395493" 1144205 240928 "MGH26" "MGH26_GSM1395493" 0.21056366647585 4256 "GSM1395493" "MGH26_H11" "SC" "MGH26" "Glioblastoma" "None" TRUE "SRR1294586" 50 "SRX549200" "SRS616953" "SAMN02796672" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294586" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "1048" "2095" 0.234342443926952 -3.4640819 0.62519171
"MGH26_GSM1395494" 1839494 401519 "MGH26" "MGH26_GSM1395494" 0.218276873966428 4485 "GSM1395494" "MGH26_H12" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294587" 50 "SRX549201" "SRS616954" "SAMN02796676" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294587" "GLPB22-B5C" "556" "H0PFYADXX" "1" "1101" "3620" "2097" 0.244576541242799 -3.2596418 0.59603949
"MGH26_GSM1395495" 4334787 861777 "MGH26" "MGH26_GSM1395495" 0.198804923978964 6779 "GSM1395495" "MGH26-2_A01" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294588" 50 "SRX549202" "SRS616955" "SAMN02796683" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294588" "HISEQ" "704" "H759HADXX" "2" "1101" "1313" "2094" 0.302242921926707 -3.3715936 0.71053046
"MGH26_GSM1395496" 5571849 1375168 "MGH26" "MGH26_GSM1395496" 0.246806401250285 6821 "GSM1395496" "MGH26-2_A02" "SC" "MGH26" "Glioblastoma" "Cla" TRUE "SRR1294589" 50 "SRX549203" "SRS616956" "SAMN02796673" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294589" "HISEQ" "704" "H759HADXX" "2" "1101" "1455" "2074" 0.282448829513421 -3.5411526 0.72892712
"MGH26_GSM1395497" 3209788 142262 "MGH26" "MGH26_GSM1395497" 0.0443213072015971 5284 "GSM1395497" "MGH26-2_A03" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294590" 50 "SRX549204" "SRS616957" "SAMN02796675" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294590" "HISEQ" "704" "H759HADXX" "2" "1101" "1121" "2161" 0.279262164480941 -2.9680121 0.57399224
"MGH26_GSM1395498" 4840099 563657 "MGH26" "MGH26_GSM1395498" 0.116455675803326 6087 "GSM1395498" "MGH26-2_A04" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294591" 50 "SRX549205" "SRS616958" "SAMN02796682" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294591" "HISEQ" "704" "H759HADXX" "2" "1101" "1150" "2237" 0.258487559749969 -3.3990675 0.64338572
"MGH26_GSM1395499" 4485181 839082 "MGH26" "MGH26_GSM1395499" 0.18707873773656 7368 "GSM1395499" "MGH26-2_A05" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294592" 50 "SRX549206" "SRS616959" "SAMN02796678" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294592" "HISEQ" "704" "H759HADXX" "2" "1101" "1315" "2109" 0.334967520529477 -3.0739335 0.70925664
"MGH26_GSM1395500" 4126829 432437 "MGH26" "MGH26_GSM1395500" 0.104786750311195 6625 "GSM1395500" "MGH26-2_A06" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294593" 50 "SRX549207" "SRS616960" "SAMN02796677" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294593" "HISEQ" "704" "H759HADXX" "2" "1101" "1356" "2092" 0.350349307513176 -2.6566059 0.61792364
"MGH26_GSM1395501" 2919419 153980 "MGH26" "MGH26_GSM1395501" 0.0527433711981733 8590 "GSM1395501" "MGH26-2_A07" "SC" "MGH26" "Glioblastoma" "Pro" TRUE "SRR1294594" 50 "SRX549208" "SRS616961" "SAMN02796686" "https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294594" "HISEQ" "704" "H759HADXX" "2" "1101" "1380" "2051" 0.442823875474936 -2.1133085 0.61141563
