cell total_reads aligned_reads sample cell_id pct_aligned detection geo_accession sampleName sampleType tumorName cellType subType includeSample Run avgLength Experiment Sample BioSample download_path instrument runID fcID fcLane tile xtile ytile det_rate
MGH26_GSM1395448 2431704 852305 MGH26 MGH26_GSM1395448 0.350497017729131 5259 GSM1395448 MGH26_E02 SC MGH26 Glioblastoma None TRUE SRR1294541 50 SRX549155 SRS616908 SAMN02796718 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294541 GLPB22-B5C 556 H0PFYADXX 1 1101 1188 2126 0.199234732535233
MGH26_GSM1395450 1928380 259376 MGH26 MGH26_GSM1395450 0.134504610087223 5236 GSM1395450 MGH26_E04 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294543 50 SRX549157 SRS616910 SAMN02796722 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294543 GLPB22-B5C 556 H0PFYADXX 1 1101 2369 2235 0.198363388392181
MGH26_GSM1395451 1509776 148528 MGH26 MGH26_GSM1395451 0.098377507656765 4601 GSM1395451 MGH26_E05 SC MGH26 Glioblastoma Pro TRUE SRR1294544 50 SRX549158 SRS616911 SAMN02796721 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294544 GLPB22-B5C 556 H0PFYADXX 1 1101 1429 2160 0.174306713138354
MGH26_GSM1395452 1940632 584008 MGH26 MGH26_GSM1395452 0.300937014333475 5659 GSM1395452 MGH26_E06 SC MGH26 Glioblastoma None TRUE SRR1294545 50 SRX549159 SRS616912 SAMN02796719 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294545 GLPB22-B5C 556 H0PFYADXX 1 1101 2490 2147 0.214388543718745
MGH26_GSM1395453 1523155 76888 MGH26 MGH26_GSM1395453 0.0504794324937383 5270 GSM1395453 MGH26_E07 SC MGH26 Glioblastoma None TRUE SRR1294546 50 SRX549160 SRS616913 SAMN02796730 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294546 GLPB22-B5C 556 H0PFYADXX 1 1101 2279 2186 0.199651462342779
MGH26_GSM1395454 2571676 864175 MGH26 MGH26_GSM1395454 0.336035721451691 5314 GSM1395454 MGH26_E08 SC MGH26 Glioblastoma Pro TRUE SRR1294547 50 SRX549161 SRS616914 SAMN02796724 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294547 GLPB22-B5C 556 H0PFYADXX 1 1101 1221 2096 0.201318381572966
MGH26_GSM1395456 1737805 252608 MGH26 MGH26_GSM1395456 0.145360382781728 4932 GSM1395456 MGH26_E10 SC MGH26 Glioblastoma Pro TRUE SRR1294549 50 SRX549163 SRS616916 SAMN02796731 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294549 GLPB22-B5C 556 H0PFYADXX 1 1101 1525 2212 0.186846491892711
MGH26_GSM1395458 1772657 297932 MGH26 MGH26_GSM1395458 0.168070867629778 5215 GSM1395458 MGH26_E12 SC MGH26 Glioblastoma Cla TRUE SRR1294551 50 SRX549165 SRS616918 SAMN02796728 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294551 GLPB22-B5C 556 H0PFYADXX 1 1101 1923 2156 0.197567813305046
MGH26_GSM1395460 2129260 817286 MGH26 MGH26_GSM1395460 0.383835698787372 4659 GSM1395460 MGH26_F02 SC MGH26 Glioblastoma Pro TRUE SRR1294553 50 SRX549167 SRS616920 SAMN02796726 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294553 GLPB22-B5C 556 H0PFYADXX 1 1101 2554 2114 0.176504015759964
MGH26_GSM1395463 3415777 1426765 MGH26 MGH26_GSM1395463 0.417698520717248 4663 GSM1395463 MGH26_F05 SC MGH26 Glioblastoma Pro TRUE SRR1294556 50 SRX549170 SRS616923 SAMN02796727 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294556 GLPB22-B5C 556 H0PFYADXX 1 1101 1342 2161 0.176655553871799
MGH26_GSM1395466 2802977 1254177 MGH26 MGH26_GSM1395466 0.447444627622703 5945 GSM1395466 MGH26_F08 SC MGH26 Glioblastoma Pro TRUE SRR1294559 50 SRX549173 SRS616926 SAMN02796729 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294559 GLPB22-B5C 556 H0PFYADXX 1 1101 1153 2181 0.225223518714957
MGH26_GSM1395467 2743855 862145 MGH26 MGH26_GSM1395467 0.314209387886751 4821 GSM1395467 MGH26_F09 SC MGH26 Glioblastoma Pro TRUE SRR1294560 50 SRX549174 SRS616927 SAMN02796736 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294560 GLPB22-B5C 556 H0PFYADXX 1 1101 1005 2243 0.182641309289286
MGH26_GSM1395468 2379178 891818 MGH26 MGH26_GSM1395468 0.374842907928705 4988 GSM1395468 MGH26_F10 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294561 50 SRX549175 SRS616928 SAMN02796737 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294561 GLPB22-B5C 556 H0PFYADXX 1 1101 1038 2202 0.188968025458403
MGH26_GSM1395469 1418395 155479 MGH26 MGH26_GSM1395469 0.109616150649149 5401 GSM1395469 MGH26_F11 SC MGH26 Glioblastoma Pro TRUE SRR1294562 50 SRX549176 SRS616929 SAMN02796741 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294562 GLPB22-B5C 556 H0PFYADXX 1 1101 1281 2137 0.20461433550538
MGH26_GSM1395470 1103254 122692 MGH26 MGH26_GSM1395470 0.111209204770615 5967 GSM1395470 MGH26_F12 SC MGH26 Glioblastoma Pro TRUE SRR1294563 50 SRX549177 SRS616930 SAMN02796739 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294563 GLPB22-B5C 556 H0PFYADXX 1 1101 1339 2194 0.22605697833005
MGH26_GSM1395471 2141634 1141693 MGH26 MGH26_GSM1395471 0.5330943569256 6453 GSM1395471 MGH26_G01 SC MGH26 Glioblastoma None TRUE SRR1294564 50 SRX549178 SRS616931 SAMN02796744 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294564 GLPB22-B5C 556 H0PFYADXX 1 1101 1909 2185 0.244468858918018
MGH26_GSM1395472 1061361 88455 MGH26 MGH26_GSM1395472 0.083341106371913 5971 GSM1395472 MGH26_G02 SC MGH26 Glioblastoma None TRUE SRR1294565 50 SRX549179 SRS616932 SAMN02796740 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294565 GLPB22-B5C 556 H0PFYADXX 1 1101 1400 2215 0.226208516441885
MGH26_GSM1395473 2610591 1198690 MGH26 MGH26_GSM1395473 0.459164227563797 5127 GSM1395473 MGH26_G03 SC MGH26 Glioblastoma Pro TRUE SRR1294566 50 SRX549180 SRS616933 SAMN02796650 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294566 GLPB22-B5C 556 H0PFYADXX 1 1101 1000 2173 0.194233974844673
MGH26_GSM1395476 1591396 309781 MGH26 MGH26_GSM1395476 0.194659908658813 4562 GSM1395476 MGH26_G06 SC MGH26 Glioblastoma Cla TRUE SRR1294569 50 SRX549183 SRS616936 SAMN02796653 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294569 GLPB22-B5C 556 H0PFYADXX 1 1101 1291 2202 0.172829216547962
MGH26_GSM1395479 2757503 1304305 MGH26 MGH26_GSM1395479 0.473002205255987 4875 GSM1395479 MGH26_G09 SC MGH26 Glioblastoma Cla TRUE SRR1294572 50 SRX549186 SRS616939 SAMN02796666 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294572 GLPB22-B5C 556 H0PFYADXX 1 1101 1120 2190 0.18468707379906
MGH26_GSM1395480 1797472 406505 MGH26 MGH26_GSM1395480 0.226153731462855 6968 GSM1395480 MGH26_G10 SC MGH26 Glioblastoma Pro+Neu TRUE SRR1294573 50 SRX549187 SRS616940 SAMN02796659 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294573 GLPB22-B5C 556 H0PFYADXX 1 1101 1696 2152 0.26397939081679
MGH26_GSM1395481 2179402 710765 MGH26 MGH26_GSM1395481 0.326128451749608 5233 GSM1395481 MGH26_G11 SC MGH26 Glioblastoma None TRUE SRR1294574 50 SRX549188 SRS616941 SAMN02796667 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294574 GLPB22-B5C 556 H0PFYADXX 1 1101 1699 2109 0.198249734808304
MGH26_GSM1395482 1623685 231455 MGH26 MGH26_GSM1395482 0.142549201353711 4571 GSM1395482 MGH26_G12 SC MGH26 Glioblastoma Cla TRUE SRR1294575 50 SRX549189 SRS616942 SAMN02796662 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294575 GLPB22-B5C 556 H0PFYADXX 1 1101 4115 2125 0.173170177299591
MGH26_GSM1395483 1883136 731862 MGH26 MGH26_GSM1395483 0.388640013254486 4309 GSM1395483 MGH26_H01 SC MGH26 Glioblastoma Pro TRUE SRR1294576 50 SRX549190 SRS616943 SAMN02796661 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294576 GLPB22-B5C 556 H0PFYADXX 1 1101 2029 2145 0.16324443097439
MGH26_GSM1395484 2055439 691091 MGH26 MGH26_GSM1395484 0.336225497326848 5513 GSM1395484 MGH26_H02 SC MGH26 Glioblastoma Pro TRUE SRR1294577 50 SRX549191 SRS616944 SAMN02796654 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294577 GLPB22-B5C 556 H0PFYADXX 1 1101 3056 2126 0.208857402636763
MGH26_GSM1395487 2501803 785778 MGH26 MGH26_GSM1395487 0.31408468212725 4803 GSM1395487 MGH26_H05 SC MGH26 Glioblastoma Pro TRUE SRR1294580 50 SRX549194 SRS616947 SAMN02796664 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294580 GLPB22-B5C 556 H0PFYADXX 1 1101 1845 2152 0.181959387786028
MGH26_GSM1395489 1714203 310210 MGH26 MGH26_GSM1395489 0.180964564873588 5630 GSM1395489 MGH26_H07 SC MGH26 Glioblastoma Pro TRUE SRR1294582 50 SRX549196 SRS616949 SAMN02796670 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294582 GLPB22-B5C 556 H0PFYADXX 1 1101 1578 2225 0.213289892407941
MGH26_GSM1395490 1568663 261306 MGH26 MGH26_GSM1395490 0.166578799907947 4756 GSM1395490 MGH26_H08 SC MGH26 Glioblastoma Pro TRUE SRR1294583 50 SRX549197 SRS616950 SAMN02796668 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294583 GLPB22-B5C 556 H0PFYADXX 1 1101 2463 2120 0.180178814971965
MGH26_GSM1395493 1144205 240928 MGH26 MGH26_GSM1395493 0.21056366647585 4256 GSM1395493 MGH26_H11 SC MGH26 Glioblastoma None TRUE SRR1294586 50 SRX549200 SRS616953 SAMN02796672 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294586 GLPB22-B5C 556 H0PFYADXX 1 1101 1048 2095 0.161236550992575
MGH26_GSM1395494 1839494 401519 MGH26 MGH26_GSM1395494 0.218276873966428 4485 GSM1395494 MGH26_H12 SC MGH26 Glioblastoma Pro TRUE SRR1294587 50 SRX549201 SRS616954 SAMN02796676 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294587 GLPB22-B5C 556 H0PFYADXX 1 1101 3620 2097 0.169912107895136
MGH26_GSM1395495 4334787 861777 MGH26 MGH26_GSM1395495 0.198804923978964 6779 GSM1395495 MGH26-2_A01 SC MGH26 Glioblastoma Pro TRUE SRR1294588 50 SRX549202 SRS616955 SAMN02796683 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294588 HISEQ 704 H759HADXX 2 1101 1313 2094 0.256819215032581
MGH26_GSM1395496 5571849 1375168 MGH26 MGH26_GSM1395496 0.246806401250285 6821 GSM1395496 MGH26-2_A02 SC MGH26 Glioblastoma Cla TRUE SRR1294589 50 SRX549203 SRS616956 SAMN02796673 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294589 HISEQ 704 H759HADXX 2 1101 1455 2074 0.25841036520685
MGH26_GSM1395497 3209788 142262 MGH26 MGH26_GSM1395497 0.0443213072015971 5284 GSM1395497 MGH26-2_A03 SC MGH26 Glioblastoma Pro TRUE SRR1294590 50 SRX549204 SRS616957 SAMN02796675 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294590 HISEQ 704 H759HADXX 2 1101 1121 2161 0.200181845734202
MGH26_GSM1395498 4840099 563657 MGH26 MGH26_GSM1395498 0.116455675803326 6087 GSM1395498 MGH26-2_A04 SC MGH26 Glioblastoma Pro TRUE SRR1294591 50 SRX549205 SRS616958 SAMN02796682 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294591 HISEQ 704 H759HADXX 2 1101 1150 2237 0.230603121685104
MGH26_GSM1395499 4485181 839082 MGH26 MGH26_GSM1395499 0.18707873773656 7368 GSM1395499 MGH26-2_A05 SC MGH26 Glioblastoma Pro TRUE SRR1294592 50 SRX549206 SRS616959 SAMN02796678 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294592 HISEQ 704 H759HADXX 2 1101 1315 2109 0.279133202000303
MGH26_GSM1395500 4126829 432437 MGH26 MGH26_GSM1395500 0.104786750311195 6625 GSM1395500 MGH26-2_A06 SC MGH26 Glioblastoma Pro TRUE SRR1294593 50 SRX549207 SRS616960 SAMN02796677 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294593 HISEQ 704 H759HADXX 2 1101 1356 2092 0.250984997726928
MGH26_GSM1395501 2919419 153980 MGH26 MGH26_GSM1395501 0.0527433711981733 8590 GSM1395501 MGH26-2_A07 SC MGH26 Glioblastoma Pro TRUE SRR1294594 50 SRX549208 SRS616961 SAMN02796686 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294594 HISEQ 704 H759HADXX 2 1101 1380 2051 0.325428095165934
MGH26_GSM1395502 1315789 316488 MGH26 MGH26_GSM1395502 0.240530966591148 4378 GSM1395502 MGH26-2_A08 SC MGH26 Glioblastoma Pro TRUE SRR1294595 50 SRX549209 SRS616962 SAMN02796679 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294595 HISEQ 704 H759HADXX 2 1101 2715 2131 0.165858463403546
MGH26_GSM1395504 1605926 203707 MGH26 MGH26_GSM1395504 0.126847065182331 5423 GSM1395504 MGH26-2_A10 SC MGH26 Glioblastoma Pro TRUE SRR1294597 50 SRX549211 SRS616964 SAMN02796688 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294597 HISEQ 704 H759HADXX 2 1101 1228 2044 0.205447795120473
MGH26_GSM1395505 3552459 509041 MGH26 MGH26_GSM1395505 0.143292575649712 6805 GSM1395505 MGH26-2_A11 SC MGH26 Glioblastoma Pro TRUE SRR1294598 50 SRX549212 SRS616965 SAMN02796680 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294598 HISEQ 704 H759HADXX 2 1101 1214 2145 0.257804212759509
MGH26_GSM1395507 3989273 882338 MGH26 MGH26_GSM1395507 0.221177643144503 6507 GSM1395507 MGH26-2_B01 SC MGH26 Glioblastoma Pro TRUE SRR1294600 50 SRX549214 SRS616967 SAMN02796687 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294600 HISEQ 704 H759HADXX 2 1101 1188 2146 0.246514623427792
MGH26_GSM1395508 5109888 1539316 MGH26 MGH26_GSM1395508 0.301242610405551 6784 GSM1395508 MGH26-2_B02 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294601 50 SRX549215 SRS616968 SAMN02796684 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294601 HISEQ 704 H759HADXX 2 1101 1427 2114 0.257008637672375
MGH26_GSM1395509 2770980 115980 MGH26 MGH26_GSM1395509 0.0418552281142412 6480 GSM1395509 MGH26-2_B03 SC MGH26 Glioblastoma None TRUE SRR1294602 50 SRX549216 SRS616969 SAMN02796690 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294602 HISEQ 704 H759HADXX 2 1101 1288 2092 0.245491741172905
MGH26_GSM1395510 5442464 1320998 MGH26 MGH26_GSM1395510 0.242720576562381 6398 GSM1395510 MGH26-2_B04 SC MGH26 Glioblastoma Pro TRUE SRR1294603 50 SRX549217 SRS616970 SAMN02796689 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294603 HISEQ 704 H759HADXX 2 1101 1115 2202 0.242385209880285
MGH26_GSM1395511 5094779 739701 MGH26 MGH26_GSM1395511 0.145188044466698 7380 GSM1395511 MGH26-2_B05 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294604 50 SRX549218 SRS616971 SAMN02796692 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294604 HISEQ 704 H759HADXX 2 1101 1196 2081 0.279587816335808
MGH26_GSM1395512 3572120 283975 MGH26 MGH26_GSM1395512 0.0794976092628467 7213 GSM1395512 MGH26-2_B06 SC MGH26 Glioblastoma Pro TRUE SRR1294605 50 SRX549219 SRS616972 SAMN02796691 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294605 HISEQ 704 H759HADXX 2 1101 1551 2239 0.273261100166692
MGH26_GSM1395516 986359 318788 MGH26 MGH26_GSM1395516 0.323196726546825 3521 GSM1395516 MGH26-2_B10 SC MGH26 Glioblastoma Pro+Cla TRUE SRR1294609 50 SRX549223 SRS616975 SAMN02796696 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294609 HISEQ 704 H759HADXX 2 1101 1813 2129 0.13339142294287
MGH26_GSM1395517 145115 34161 MGH26 MGH26_GSM1395517 0.235406401819247 3104 GSM1395517 MGH26-2_B11 SC MGH26 Glioblastoma Pro TRUE SRR1294610 50 SRX549224 SRS616976 SAMN02796694 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294610 HISEQ 704 H759HADXX 2 1101 3598 2038 0.117593574784058
MGH26_GSM1395519 2633756 737375 MGH26 MGH26_GSM1395519 0.27997088568569 4682 GSM1395519 MGH26-2_C01 SC MGH26 Glioblastoma None TRUE SRR1294612 50 SRX549226 SRS616980 SAMN02796704 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294612 HISEQ 704 H759HADXX 2 1101 1327 2132 0.177375359903016
MGH26_GSM1395521 3786872 267364 MGH26 MGH26_GSM1395521 0.0706028616758105 5433 GSM1395521 MGH26-2_C03 SC MGH26 Glioblastoma Pro TRUE SRR1294614 50 SRX549228 SRS616981 SAMN02796701 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294614 HISEQ 704 H759HADXX 2 1101 1230 2150 0.205826640400061
MGH26_GSM1395522 4617026 650761 MGH26 MGH26_GSM1395522 0.140948090827299 6567 GSM1395522 MGH26-2_C04 SC MGH26 Glioblastoma Pro TRUE SRR1294615 50 SRX549229 SRS616982 SAMN02796708 https://sra-download.ncbi.nlm.nih.gov/srapub/SRR1294615 HISEQ 704 H759HADXX 2 1101 1130 2183 0.248787695105319
