replicate scenario method cls_err L svmult
8 G500 PCA 0.1875 2 NA
9 G500 PCA 0.225 2 NA
10 G500 PCA 0.33125 2 NA
1 G1000 PCA 0.28125 2 NA
2 G1000 PCA 0.31875 2 NA
3 G1000 PCA 0.3125 2 NA
4 G1000 PCA 0.3875 2 NA
5 G1000 PCA 0.2625 2 NA
6 G1000 PCA 0.4125 2 NA
7 G1000 PCA 0.3 2 NA
8 G1000 PCA 0.375 2 NA
9 G1000 PCA 0.3375 2 NA
10 G1000 PCA 0.325 2 NA
1 G500 tSNE_plx_5 0.5375 2 NA
2 G500 tSNE_plx_5 0.54375 2 NA
3 G500 tSNE_plx_5 0.5375 2 NA
4 G500 tSNE_plx_5 0.5375 2 NA
5 G500 tSNE_plx_5 0.58125 2 NA
6 G500 tSNE_plx_5 0.5375 2 NA
7 G500 tSNE_plx_5 0.65625 2 NA
8 G500 tSNE_plx_5 0.45 2 NA
9 G500 tSNE_plx_5 0.5375 2 NA
10 G500 tSNE_plx_5 0.65625 2 NA
1 G1000 tSNE_plx_5 0.5375 2 NA
2 G1000 tSNE_plx_5 0.65 2 NA
3 G1000 tSNE_plx_5 0.70625 2 NA
4 G1000 tSNE_plx_5 0.625 2 NA
5 G1000 tSNE_plx_5 0.575 2 NA
6 G1000 tSNE_plx_5 0.6375 2 NA
7 G1000 tSNE_plx_5 0.56875 2 NA
8 G1000 tSNE_plx_5 0.48125 2 NA
9 G1000 tSNE_plx_5 0.5875 2 NA
10 G1000 tSNE_plx_5 0.51875 2 NA
1 G500 tSNE_plx_20 0.4375 2 NA
2 G500 tSNE_plx_20 0.36875 2 NA
3 G500 tSNE_plx_20 0.275 2 NA
4 G500 tSNE_plx_20 0.4625 2 NA
5 G500 tSNE_plx_20 0.5625 2 NA
6 G500 tSNE_plx_20 0.4875 2 NA
7 G500 tSNE_plx_20 0.40625 2 NA
8 G500 tSNE_plx_20 0.31875 2 NA
9 G500 tSNE_plx_20 0.3625 2 NA
10 G500 tSNE_plx_20 0.60625 2 NA
1 G1000 tSNE_plx_20 0.64375 2 NA
2 G1000 tSNE_plx_20 0.475 2 NA
3 G1000 tSNE_plx_20 0.55 2 NA
4 G1000 tSNE_plx_20 0.475 2 NA
5 G1000 tSNE_plx_20 0.5375 2 NA
6 G1000 tSNE_plx_20 0.54375 2 NA
7 G1000 tSNE_plx_20 0.51875 2 NA
8 G1000 tSNE_plx_20 0.575 2 NA
9 G1000 tSNE_plx_20 0.65 2 NA
10 G1000 tSNE_plx_20 0.575 2 NA
1 G500 VAMF 0.0125 2 0.2
1 G500 VAMF 0.00624999999999998 5 0.2
1 G500 VAMF 0.00624999999999998 10 0.2
1 G500 VAMF 0.65 2 1
1 G500 VAMF 0.35625 5 1
1 G500 VAMF 0.00624999999999998 10 1
1 G500 VAMF 0.40625 2 5
1 G500 VAMF 0.35625 5 5
1 G500 VAMF 0.00624999999999998 10 5
2 G500 VAMF 0.025 2 0.2
2 G500 VAMF 0.03125 5 0.2
2 G500 VAMF 0.025 10 0.2
2 G500 VAMF 0.275 2 1
2 G500 VAMF 0.05 5 1
2 G500 VAMF 0.01875 10 1
2 G500 VAMF 0.025 2 5
2 G500 VAMF 0.025 5 5
2 G500 VAMF 0.28125 10 5
3 G500 VAMF 0.7 2 0.2
3 G500 VAMF 0.03125 5 0.2
3 G500 VAMF 0.025 10 0.2
3 G500 VAMF 0.3375 2 1
3 G500 VAMF 0.06875 5 1
3 G500 VAMF 0.2875 10 1
3 G500 VAMF 0.3 2 5
3 G500 VAMF 0.025 5 5
3 G500 VAMF 0.025 10 5
4 G500 VAMF 0.0125 2 0.2
4 G500 VAMF 0.01875 5 0.2
4 G500 VAMF 0.025 10 0.2
4 G500 VAMF 0.375 2 1
4 G500 VAMF 0.01875 5 1
4 G500 VAMF 0.0125 10 1
4 G500 VAMF 0.39375 2 5
4 G500 VAMF 0.01875 5 5
4 G500 VAMF 0.05625 10 5
5 G500 VAMF 0.025 2 0.2
5 G500 VAMF 0.0375000000000001 5 0.2
5 G500 VAMF 0.03125 10 0.2
5 G500 VAMF 0.65 2 1
5 G500 VAMF 0.03125 5 1
5 G500 VAMF 0.03125 10 1
5 G500 VAMF 0.03125 2 5
5 G500 VAMF 0.03125 5 5
5 G500 VAMF 0.03125 10 5
6 G500 VAMF 0.025 2 0.2
6 G500 VAMF 0.03125 5 0.2
6 G500 VAMF 0.0375 10 0.2
6 G500 VAMF 0.03125 2 1
6 G500 VAMF 0.01875 5 1
6 G500 VAMF 0.04375 10 1
6 G500 VAMF 0.76875 2 5
6 G500 VAMF 0.03125 5 5
6 G500 VAMF 0.0375 10 5
7 G500 VAMF 0.3125 2 0.2
7 G500 VAMF 0.03125 5 0.2
7 G500 VAMF 0.03125 10 0.2
7 G500 VAMF 0.35625 2 1
7 G500 VAMF 0.025 5 1
7 G500 VAMF 0.03125 10 1
7 G500 VAMF 0.70625 2 5
7 G500 VAMF 0.025 5 5
7 G500 VAMF 0.025 10 5
8 G500 VAMF 0.64375 2 0.2
8 G500 VAMF 0.36875 5 0.2
8 G500 VAMF 0.01875 10 0.2
8 G500 VAMF 0.33125 2 1
8 G500 VAMF 0.2 5 1
8 G500 VAMF 0.01875 10 1
8 G500 VAMF 0.01875 2 5
8 G500 VAMF 0.01875 5 5
8 G500 VAMF 0.01875 10 5
9 G500 VAMF 0.175 2 0.2
9 G500 VAMF 0.18125 5 0.2
9 G500 VAMF 0.71875 10 0.2
9 G500 VAMF 0.7125 2 1
9 G500 VAMF 0.18125 5 1
9 G500 VAMF 0.00624999999999998 10 1
9 G500 VAMF 0.15625 2 5
9 G500 VAMF 0.15625 5 5
9 G500 VAMF 0.00624999999999998 10 5
10 G500 VAMF 0.25625 2 0.2
10 G500 VAMF 0.24375 5 0.2
10 G500 VAMF 0.0125 10 0.2
10 G500 VAMF 0.2625 2 1
10 G500 VAMF 0.00624999999999998 5 1
10 G500 VAMF 0.23125 10 1
10 G500 VAMF 0.26875 2 5
10 G500 VAMF 0.00624999999999998 5 5
10 G500 VAMF 0.00624999999999998 10 5
1 G1000 VAMF 0.35 2 0.2
1 G1000 VAMF 0 5 0.2
1 G1000 VAMF 0.00624999999999998 10 0.2
1 G1000 VAMF 0.69375 2 1
1 G1000 VAMF 0.00624999999999998 5 1
1 G1000 VAMF 0.35 10 1
1 G1000 VAMF 0.00624999999999998 2 5
1 G1000 VAMF 0.00624999999999998 5 5
1 G1000 VAMF 0.00624999999999998 10 5
2 G1000 VAMF 0.1875 2 0.2
2 G1000 VAMF 0.225 5 0.2
2 G1000 VAMF 0.03125 10 0.2
2 G1000 VAMF 0.03125 2 1
2 G1000 VAMF 0.23125 5 1
2 G1000 VAMF 0.225 10 1
2 G1000 VAMF 0.23125 2 5
2 G1000 VAMF 0.0375000000000001 5 5
2 G1000 VAMF 0.025 10 5
3 G1000 VAMF 0.34375 2 0.2
3 G1000 VAMF 0.03125 5 0.2
3 G1000 VAMF 0.025 10 0.2
3 G1000 VAMF 0.01875 2 1
3 G1000 VAMF 0.35 5 1
3 G1000 VAMF 0.01875 10 1
3 G1000 VAMF 0.56875 2 5
3 G1000 VAMF 0.025 5 5
3 G1000 VAMF 0.03125 10 5
4 G1000 VAMF 0.725 2 0.2
4 G1000 VAMF 0.2625 5 0.2
4 G1000 VAMF 0.03125 10 0.2
4 G1000 VAMF 0.2875 2 1
4 G1000 VAMF 0.03125 5 1
4 G1000 VAMF 0.2125 10 1
4 G1000 VAMF 0.03125 2 5
4 G1000 VAMF 0.2625 5 5
4 G1000 VAMF 0.0375 10 5
5 G1000 VAMF 0.21875 2 0.2
5 G1000 VAMF 0.1875 5 0.2
5 G1000 VAMF 0.00624999999999998 10 0.2
5 G1000 VAMF 0.725 2 1
5 G1000 VAMF 0.00624999999999998 5 1
5 G1000 VAMF 0.0125 10 1
5 G1000 VAMF 0.7375 2 5
5 G1000 VAMF 0.0125 5 5
5 G1000 VAMF 0.3 10 5
6 G1000 VAMF 0.71875 2 0.2
6 G1000 VAMF 0.025 5 0.2
6 G1000 VAMF 0.01875 10 0.2
6 G1000 VAMF 0.65625 2 1
6 G1000 VAMF 0.1 5 1
6 G1000 VAMF 0.025 10 1
6 G1000 VAMF 0.3125 2 5
6 G1000 VAMF 0.025 5 5
6 G1000 VAMF 0.025 10 5
7 G1000 VAMF 0.00624999999999998 2 0.2
7 G1000 VAMF 0.01875 5 0.2
7 G1000 VAMF 0.025 10 0.2
7 G1000 VAMF 0.01875 2 1
7 G1000 VAMF 0.16875 5 1
7 G1000 VAMF 0.225 10 1
7 G1000 VAMF 0.0125 2 5
7 G1000 VAMF 0.025 5 5
7 G1000 VAMF 0.26875 10 5
8 G1000 VAMF 0.375 2 0.2
8 G1000 VAMF 0.6875 5 0.2
8 G1000 VAMF 0.3875 10 0.2
8 G1000 VAMF 0.68125 2 1
8 G1000 VAMF 0.375 5 1
8 G1000 VAMF 0.00624999999999998 10 1
8 G1000 VAMF 0.68125 2 5
8 G1000 VAMF 0.0125 5 5
8 G1000 VAMF 0.00624999999999998 10 5
9 G1000 VAMF 0.70625 2 0.2
9 G1000 VAMF 0.3875 5 0.2
9 G1000 VAMF 0.38125 10 0.2
9 G1000 VAMF 0.40625 2 1
9 G1000 VAMF 0.00624999999999998 5 1
9 G1000 VAMF 0.00624999999999998 10 1
9 G1000 VAMF 0.3625 2 5
9 G1000 VAMF 0.39375 5 5
9 G1000 VAMF 0.39375 10 5
10 G1000 VAMF 0.70625 2 0.2
10 G1000 VAMF 0.29375 5 0.2
10 G1000 VAMF 0.03125 10 0.2
10 G1000 VAMF 0.0375 2 1
10 G1000 VAMF 0.0375000000000001 5 1
10 G1000 VAMF 0.725 10 1
10 G1000 VAMF 0.2875 2 5
10 G1000 VAMF 0.03125 5 5
10 G1000 VAMF 0.11875 10 5
